VG,IG,ID,absId,absIg
-12.6,-1.3391E-09,1.3596E-07,1.3596E-07,1.3391E-09
-12.4,-1.302E-09,2.2124E-07,2.2124E-07,1.302E-09
-12.200000000000001,-1.2644E-09,3.4209999999999997E-07,3.4209999999999997E-07,1.2644E-09
-12,-1.2278E-09,5.0715999999999994E-07,5.0715999999999994E-07,1.2278E-09
-11.8,-1.1924E-09,7.2516E-07,7.2516E-07,1.1924E-09
-11.6,-1.1568E-09,1.00314E-06,1.00314E-06,1.1568E-09
-11.4,-1.1228E-09,1.34E-06,1.34E-06,1.1228E-09
-11.200000000000001,-1.089E-09,1.7609000000000002E-06,1.7609000000000002E-06,1.089E-09
-11,-1.0554E-09,2.2545E-06,2.2545E-06,1.0554E-09
-10.8,-1.0225E-09,2.8263000000000004E-06,2.8263000000000004E-06,1.0225E-09
-10.6,-9.9104000000000013E-10,3.4627000000000003E-06,3.4627000000000003E-06,9.9104000000000013E-10
-10.4,-9.5897E-10,4.1959000000000008E-06,4.1959000000000008E-06,9.5897E-10
-10.200000000000001,-9.2816E-10,5.0041000000000009E-06,5.0041000000000009E-06,9.2816E-10
-10,-8.982400000000001E-10,5.8878000000000006E-06,5.8878000000000006E-06,8.982400000000001E-10
-9.8,-8.6807000000000008E-10,6.848E-06,6.848E-06,8.6807000000000008E-10
-9.6,-8.400000000000001E-10,7.8749000000000015E-06,7.8749000000000015E-06,8.400000000000001E-10
-9.4,-8.1183000000000008E-10,8.9761E-06,8.9761E-06,8.1183000000000008E-10
-9.2000000000000011,-7.8338E-10,1.01389E-05,1.01389E-05,7.8338E-10
-9,-7.5611000000000009E-10,1.1363200000000002E-05,1.1363200000000002E-05,7.5611000000000009E-10
-8.8,-7.290400000000001E-10,1.2646E-05,1.2646E-05,7.290400000000001E-10
-8.6,-7.032700000000001E-10,1.3982000000000001E-05,1.3982000000000001E-05,7.032700000000001E-10
-8.4,-6.7759E-10,1.5364E-05,1.5364E-05,6.7759E-10
-8.2,-6.5217E-10,1.6794000000000002E-05,1.6794000000000002E-05,6.5217E-10
-8,-6.2788E-10,1.8264E-05,1.8264E-05,6.2788E-10
-7.8,-6.0365000000000008E-10,1.9762E-05,1.9762E-05,6.0365000000000008E-10
-7.6000000000000005,-5.8017000000000008E-10,2.13E-05,2.13E-05,5.8017000000000008E-10
-7.4,-5.5701E-10,2.2868000000000002E-05,2.2868000000000002E-05,5.5701E-10
-7.2,-5.3509000000000006E-10,2.4452000000000002E-05,2.4452000000000002E-05,5.3509000000000006E-10
-7,-5.1323E-10,2.6064E-05,2.6064E-05,5.1323E-10
-6.8,-4.9176000000000007E-10,2.7696E-05,2.7696E-05,4.9176000000000007E-10
-6.6000000000000005,-4.709E-10,2.934E-05,2.934E-05,4.709E-10
-6.4,-4.5015000000000004E-10,3.0994E-05,3.0994E-05,4.5015000000000004E-10
-6.2,-4.3054000000000005E-10,3.2658E-05,3.2658E-05,4.3054000000000005E-10
-6,-4.1106000000000003E-10,3.433E-05,3.433E-05,4.1106000000000003E-10
-5.8,-3.9261000000000005E-10,3.6E-05,3.6E-05,3.9261000000000005E-10
-5.6000000000000005,-3.7363000000000003E-10,3.7676E-05,3.7676E-05,3.7363000000000003E-10
-5.4,-3.5560000000000004E-10,3.935E-05,3.935E-05,3.5560000000000004E-10
-5.2,-3.3775000000000005E-10,4.1016E-05,4.1016E-05,3.3775000000000005E-10
-5,-3.2128E-10,4.2682E-05,4.2682E-05,3.2128E-10
-4.8,-3.0476000000000004E-10,4.4328E-05,4.4328E-05,3.0476000000000004E-10
-4.6000000000000005,-2.8814E-10,4.5974000000000004E-05,4.5974000000000004E-05,2.8814E-10
-4.4,-2.7249E-10,4.7606000000000005E-05,4.7606000000000005E-05,2.7249E-10
-4.2,-2.5694000000000005E-10,4.923E-05,4.923E-05,2.5694000000000005E-10
-4,-2.4204E-10,5.0838000000000004E-05,5.0838000000000004E-05,2.4204E-10
-14,-1.7138E-09,1.8544E-09,1.8544E-09,1.7138E-09
-13.8,-1.672E-09,3.2959E-09,3.2959E-09,1.672E-09
-13.6,-1.6279E-09,6.5591E-09,6.5591E-09,1.6279E-09
-13.4,-1.5843E-09,1.2770799999999998E-08,1.2770799999999998E-08,1.5843E-09
-13.200000000000001,-1.5436E-09,2.5792199999999998E-08,2.5792199999999998E-08,1.5436E-09
-13,-1.5016E-09,4.8847399999999996E-08,4.8847399999999996E-08,1.5016E-09
-12.8,-1.4601E-09,8.7439199999999991E-08,8.7439199999999991E-08,1.4601E-09
-12.6,-1.4198E-09,1.4552E-07,1.4552E-07,1.4198E-09
